Year,Borehole Code,Area,Borehol Name,Type,District,Southing (DD WGS 84),Easting (DD WGS 84),Drilling Start Date,Drilling Completion Date
2024,KU04A,Kakulwani,Nakalunda Roadside,Grazing Land,Mwandi,-17.431078,24.714012,13/12/2024,13/12/2024
2024,KU03A,Kakulwani,Nambwae,Grazing Land,Mwandi,-17.45855,24.69749,11/12/2024,11/12/2024
2024,KU01A,Kakulwani,Kakulwani Spray Race,Spray Race,Mwandi,-17.441414,24.724141,9/12/2024,10/12/2024
2024,SG 03A,Simungoma,Simungoma Spray race,Spray Race,Mwandi,-17.413512,24.678579,4/12/2024,5/12/2024
2024,KY03,Kobya,Nanyotwa,Grazing Land,Mwandi,-17.30571,24.65537,1/12/2024,2/12/2024
2024,KY02,Kobya,Kaoleole,Grazing Land,Mwandi,-17.24858,24.65859,28/11/2024,29/11/2024
2024,SL03A,Silangu,Mulapani,Grazing Land,Mwandi,-17.2876,24.69537,26/11/2024,27/11/2024
2024,SL02A,Silangu,Katemwazana,Grazing Land,Mwandi,-17.29966,24.72272,23/11/2024,25/11/2024
2024,SL01A,Silangu,Lisalatau,Grazing Land,Mwandi,-17.27615,24.73231,21/11/2024,22/11/2024
2024,KY04,Kobya,Masese valley,Grazing Land,Mwandi,-17.2958,24.56669,18/11/2024,19/11/2024
2024,NK01,Nkuse,Nakabunze,Grazing Land,Mwandi,-17.243663,24.70822,15/11/2024,16/11/2024
2024,NK02A,Nkuse,Mubita,Grazing Land,Mwandi,-17.23492,24.71536,13/11/2024,14/11/2024
2024,NK02B,Nkuse,Mubita,Grazing Land,Mwandi,-17.23366,24.71616,11/11/2024,11/11/2024
2024,NK04,Nkuse,Muluti Muluti,Grazing Land,Mwandi,-17.2146,24.69627,9/11/2024,10/11/2024
2024,KU02A,Kakulwani,Namakolwa,Grazing Land,Mwandi,-17.432724,24.783029,7/11/2024,7/11/2024
2024,NK03,Nkuse,Nkuse Spray Race,Spray Race,Mwandi,-17.22902,24.69714,6/11/2024,7/11/2024
2024,KY01A,Kobya,Limpumpu/Kobya Buying Centre,Spray Race,Mwandi,-17.29203,24.65998,1/11/2024,2/11/2024
2024,LJ03A,Loanja,Nongwa down,Grazing Land,Mwandi,-17.31619,24.75238,30/10/2024,30/10/2024
2024,LJ04A,Loanja,Loanja Spray race,Spray Race,Mwandi,-17.32141,24.76457,28/10/2024,28/10/2024
2024,LJ02A,Loanja,Supi,Grazing Land,Mwandi,-17.3426,24.78962,26/10/2024,27/10/2024
2024,LJ01A,Loanja,Kasa Ka White,Grazing Land,Mwandi,-17.27566,24.78563,20/10/2024,21/10/2024
2024,KG04A,Kangubu,Kazwili,Grazing Land,Mwandi,-17.10947,24.80991,17/10/2024,18/10/2024
2024,KG03A,Kangubu,Kachenje,Grazing Land,Mwandi,-17.152691,24.824236,14/10/2024,15/10/2024
2024,LT04A,Lutaba,Lutaba Spray Race,Spray Race,Mwandi,-17.10436,24.4647,11/10/2024,13/10/2024
2024,LT03A,Lutaba,Sipani,Grazing Land,Mwandi,-17.19147,24.7874,9/10/2024,10/10/2024
2024,LT02A,Lutaba,Sooli,Grazing Land,Mwandi,-17.168774,24.743381,6/10/2024,7/10/2024
2024,LT01A,Lutaba,Kalombe,Grazing Land,Mwandi,-17.15746,24.71488,4/10/2024,5/10/2024
2024,KG02A,Kangubu,Kangubu,Grazing Land,Mwandi,-17.099101,24.772185,1/10/2024,2/10/2024
2024,KG01A,Kangubu,Kangunbu Buying Centre (Milombe),Spray Race,Mwandi,-17.13467,24.80396,25/09/2024,26/09/2024
2024,CS03A,Chisu,Buhunda,Grazing Land,Mwandi,-17.309463,24.409969,16/09/2024,17/09/2024
2024,KZ04A,Kazungwe,Kahoto,Grazing Land,Mwandi,-17.22595,24.341798,13/09/2024,14/09/2024
2024,KZ03A,Kazungwe,Kaningili,Grazing Land,Mwandi,-17.201117,24.340149,11/09/2024,11/09/2024
2024,KZ02A,Kazungwe,Mulumani,Grazing Land,Mwandi,-17.140625,24.34174,8/09/2024,9/09/2024
2024,KZ01A,Kazungwe,Kazungwe Spray Race,Spray Race,Mwandi,-17.10655,24.20424,5/09/2024,7/09/2024
2024,CS02A,Chisu,Chisu Spray Race,Spray Race,Mwandi,-17.15821,24.2394,30/08/2024,1/09/2024
2024,CS01A,Chisu,Ntenje,Grazing Land,Mwandi,-17.260653,24.359135,28/08/2024,28/08/2024
2024,KP01A,Kapokoto,Kapokoto Spray Race,Spray Race,Sesheke,-17.374655,24.370228,22/08/2024,26/08/2024
2024,TH04A,Tahalima,Mukwitwa,Grazing Land,Sesheke,-17.419548,24.557443,16/08/2024,17/08/2024
2024,TH03A,Tahalima,Simalumba,Grazing Land,Sesheke,-17.25015,24.33911,11/08/2024,12/08/2024
2024,SK 05B,Sikaunzwe,Sikaunzwe Buying Centre ,Spray Race,Kazungula,-17.563901,25.214504,26/07/2024,27/07/2024
2024,SK 05A,Sikaunzwe,Sikaunzwe Buying Centre ,Spray Race,Kazungula,-17.563926,25.213823,23/07/2024,25/07/2024
2024,SM 01A,Sawmills,Sawmills Spary Race,Spray Race,Sesheke,-17.45419,24.38411,18/07/2024,19/07/2024
2024,KT 01A,Katongo,Katongo Spray Race,Spray Race,Sesheke,-17.25827,24.27004,12/07/2024,14/07/2024
2024,TH02A,Tahalima,Tahalima Community ,Grazing Land,Sesheke,-17.4163,24.592578,9/07/2024,10/07/2024
2024,TH01A,Tahalima,Tahalima Spray Race,Spray Race,Sesheke,-17.407183,24.585134,6/07/2024,7/07/2024
2024,IB 04A,Ibele,Nakonga,Grazing Land,Mwandi,-17.00173,24.4015,13/06/2024,14/06/2024
2024,IB 03A,Ibele,Ibaa,Grazing Land,Mwandi,-17.0054,24.35198,12/06/2024,12/06/2024
2024,IB 02A,Ibele,Ibele Spray Race,Spray Race,Mwandi,-17.03645,24.41251,10/06/2024,10/06/2024
2024,IB 01A,Ibele,Simwanza ,Grazing Land,Mwandi,-17.03645,24.41251,8/06/2024,9/06/2024
2024,MK 04A,Mushukula,Mwanza Community,Grazing Land,Mwandi,-17.00482,24.48036,4/06/2024,4/06/2024
2024,MK 03A,Mushukula,Mushukulu Spray Race,Spray Race,Mwandi,-17.02394,24.48586,2/06/2024,2/06/2024
2024,MK 02A,Mushukula,Manyati Comminuty,Grazing Land,Mwandi,-17.05422,24.4918,31/05/2024,31/05/2024
2024,MK 01A,Mushukula,Simbala Community,Grazing Land,Mwandi,-17.07669,24.49451,24/05/2024,26/05/2024
2024,LS 04A,Lusinina,Likomokomo,Grazing Land,Mwandi,-17.10725,24.50716,22/05/2024,22/05/2024
2024,LS 03A,Lusinina,Likezo Community,Grazing Land,Mwandi,-17.1553,24.52044,20/05/2024,20/05/2024
2024,LS 02A,Lusinina,Sokomoka,Grazing Land,Mwandi,-17.17781,24.51991,17/05/2024,18/05/2024
2024,LS 01A,Lusinina,Lusinina Spray Race,Spray Race,Mwandi,-17.02394,24.48586,16/05/2024,16/05/2024
2023,SK 04A,Sikaunzwe,Sikaunzwe Buying Centre ,Spray Race,Kazungula,-17.56132,25.21643,13/12/2023,13/12/2023
2023,SK 03A,Sikaunzwe,Sikaunzwe Buying Centre ,Spray Race,Kazungula,-17.56132,25.21643,12/12/2023,12/12/2023
2023,SK  01B,Sikaunzwe,Sikaunzwe Buying Centre ,Spray Race,Kazungula,-17.58292,25.21592,10/12/2023,11/12/2023
2023,SK  01A,Sikaunzwe,Sikaunzwe Buying Centre ,Spray Race,Kazungula,-17.58284,25.21603,6/12/2023,6/12/2023
2023,SG 02A,Simungoma,Likatalelo Community,Grazing Land,Mwandi,-17.40365,24.66878,28/11/2023,29/11/2023
2023,SG 01B,Simungoma,Makalo Community,Grazing Land,Mwandi,-17.41292,24.69717,18/11/2023,18/11/2023
2023,SG 01A,Simungoma,Makalo Community,Grazing Land,Mwandi,-17.41289,24.69715,16/11/2023,16/11/2023
2023,MA 01B,Maondo,Maondo Hub Buying Centre ,Spray Race,Sesheke,-17.42069,24.53936,13/11/2023,13/11/2023
2023,LP  06A,Nkuse,Nkuse Community,Grazing Land,Mwandi,-17.23195,24.71197,9/11/2023,9/11/2023
2023,LP  05A,Lipumpu,Kaoleole West Community,Grazing Land,Mwandi,-17.25813,24.64089,6/11/2023,6/11/2023
2023,LP  04A,Lipumpu,Machobani Community,Grazing Land,Mwandi,-17.19676,24.64744,3/11/2023,4/11/2023
2023,LP  03A,Lipumpu,Kalanga Community,Grazing Land,Mwandi,-17.16928,24.64702,2/11/2023,2/11/2023
2023,LP   02A,Lipumpu,Nabatotela Community,Grazing Land,Mwandi,-17.18438,24.62628,30/10/2023,30/10/2023
2023,LP   01A,Lipumpu,Mutuwapafa Spay race,Grazing Land,Mwandi,-17.21959,24.6247,27/10/2023,28/10/2023
2023,MA 02B,Maondo,Mwenendela Community,Grazing Land,Sesheke,-17.42286,24.54506,4/10/2023,4/10/2023
2023,MA 02A,Maondo,Mwenendela Community,Grazing Land,Sesheke,-17.42276,24.54491,3/10/2023,3/10/2023
2023,MA 04A,Maondo,Kanzinzila Community,Grazing Land,Sesheke,-17.41707,24.5501,29/09/2023,29/09/2023
2023,MA 03B,Maondo,Bukwachaze Community ,Grazing Land,Sesheke,-17.43508,24.54065,27/09/2023,27/09/2023
2023,MA 03A,Maondo,Bukwachaze Community ,Grazing Land,Sesheke,-17.43501,24.54034,26/09/2023,26/09/2023
2023,MA 01A,Maondo,Maondo Hub Buying Centre ,Spray Race,Sesheke,-17.42115,24.53885,22/09/2023,22/09/2023
2025,CH01A,CHILULU,Chilulu Spray race,Spray Race,Sesheke,-17.16498,24.21455,,
2025,CH02A,CHILULU,Chilulu Libala,Grazing Land,Sesheke,-17.17079,24.21274,,
2025,CH03A,CHILULU,Chillulu Libala 2,Grazing Land,Sesheke,-17.17072,24.19747,,
2025,CH04A,CHILULU,Chilulu Lisheke,Grazing Land,Sesheke,-17.16895,24.22889,,
2025,KC01A,KACHOLA,Kachola Spray race,Spray Race,Sesheke,-16.84635,24.14261,,
2025,KC02A,KACHOLA,Namwinga,Grazing Land,Sesheke,-16.8351,24.1647,,
2025,KC03B,KACHOLA,Kachola Lishike,Grazing Land,Sesheke,-16.8401104,24.1074306,,
2025,KC04A,KACHOLA,Sililo,Grazing Land,Sesheke,-16.8931818,24.1128661,,
2025,KE01A,KATETE,Katete Spray race,Spray Race,Mwandi,-17.06699,24.30518,,
2025,KE02A,KATETE,Katete Lisheke 1,Grazing Land,Mwandi,-17.02623,24.29922,,
2025,KE03A,KATETE,Katete Lisheke 2,Grazing Land,Mwandi,-17.06129,24.33147,,
2025,KE04A,KATETE,Katete Lisheke 3,Grazing Land,Mwandi,-17.1622,24.26132,,
2025,LL01A,LILONGA,Lilonga Spray race,Spray Race,Sesheke,-17.37896,24.28688,,
2025,LL02B,LILONGA,Lilonga Libala,Grazing Land,Sesheke,-17.35854,24.2911,,
2025,LL03A,LILONGA,Lilonga Libala 2,Grazing Land,Sesheke,-17.35852,24.29106,,
2025,LL04A,LILONGA,Lilonga Mutemwa,Grazing Land,Sesheke,-17.36583,24.30772,,
2025,LM01A,LUAMPUNGU,Luampungu Spray race,Spray Race,Sesheke,-16.7062395,24.25331,,
2025,LM02A,LUAMPUNGU,Loza,Grazing Land,Sesheke,-16.645177,24.247172,,
2025,LM03A,LUAMPUNGU,Mwanang'ombe,Grazing Land,Sesheke,-16.662548,24.33788,,
2025,LM04A,LUAMPUNGU,Kaunza,Grazing Land,Sesheke,-16.7564101,24.2271523,,
2025,LS01A,LUSU,Lusu Spray race (Matambisa),Spray Race,Sesheke,-17.19811,24.12125,,
2025,LS02B,LUSU,Nambwa,Grazing Land,Sesheke,-17.17542,24.15844,,
2025,LS03B,LUSU,Libaneno,Grazing Land,Sesheke,-17.17533,24.15854,,
2025,LS04A,LUSU,Maasa,Grazing Land,Sesheke,-17.21142,24.1066,,
2025,MY02A,MANYEKANGA,Manyekanga Mushitu,Grazing Land,Sesheke,-17.39387,24.20373,,
2025,MY04A,MANYEKANGA,Manyekanga Lisheke,Grazing Land,Sesheke,-17.41628,24.22519,,
2025,MZ01A,MAZABA,Mazaba Spray race,Spray Race,Sesheke,-17.1622,24.26132,,
2025,MZ02A,MAZABA,Mazaba Mutemwa ,Grazing Land,Sesheke,-17.28335,24.16583,,
2025,MZ03A,MAZABA,Mazaba Lisheke,Grazing Land,Sesheke,-17.14109,24.27171,,
2025,MZ04A,MAZABA,Mazaba Libala,Grazing Land,Sesheke,-17.16437,24.25261,,
2025,ML01A,MAZAULI,Mazauli Spray race,Spray Race,Sesheke,-17.35774,24.18438,,
2025,ML02A,MAZAULI,Mazauli Mushitu,Grazing Land,Sesheke,-17.31586,24.2077,,
2025,ML03C,MAZAULI,Mazauli Mushitu 2,Grazing Land,Sesheke,-17.33505,24.18778,,
2025,ML04A,MAZAULI,Mazauli Lisheke,Grazing Land,Sesheke,-17.35154,24.21695,,
2025,MB01A,MAZIBA,Maziba Spray Race,Spray Race,Sesheke,-17.00467,24.17221,,
2025,MB02A,MAZIBA,Maziba Forest,Grazing Land,Sesheke,-17.01059,24.21579,,
2025,MB03A,MAZIBA,Maziba Lisheke,Grazing Land,Sesheke,-17.03919,24.08102,,
2025,MB04B,MAZIBA,Maziba Mutemwa,Grazing Land,Sesheke,-16.99077,24.09903,,
2025,MK01B,MBILIKA,Mbilika Spray race,Spray Race,Sesheke,-16.80779,24.18298,,
2025,MK02A,MBILIKA,Silumputa,Grazing Land,Sesheke,-16.79736,24.19729,,
2025,MK03A,MBILIKA,Mako,Grazing Land,Sesheke,-16.8138009,24.1792045,,
2025,MK04A,MBILIKA,Kayombo,Grazing Land,Sesheke,-16.82011,24.17455,,
2025,MO01A,MUYABALO,Muyabalo Spray race,Spray Race,Sesheke,-17.15523,24.07674,,
2025,MO02B,MUYABALO,Nchele,Grazing Land,Sesheke,-17.1087,24.07357,,
2025,MO03A,MUYABALO,Kawewe,Grazing Land,Sesheke,-17.13363,24.07384,,
2025,MO04A,MUYABALO,Sabalo,Grazing Land,Sesheke,-17.16487,24.081145,,
2025,NW01A,NALIKWANDA,Nalikwanda Spray race,Spray Race,Sesheke,-17.23722,24.13364,,
2025,NW02D,NALIKWANDA,Mulelekwa,Grazing Land,Sesheke,-17.2238,24.13873,,
2025,NW03A,NALIKWANDA,Sooma,Grazing Land,Sesheke,-17.22297,24.12697,,
2025,NW04A,NALIKWANDA,Sininga Village,Grazing Land,Sesheke,-17.23985,24.14819,,
2025,NM01A,NAMATWI,Namatwi Spray race ,Spray Race,Sesheke,-17.35854,24.2911,,
2025,NM02A,NAMATWI,Sikabela Sasitongwani,Grazing Land,Sesheke,-17.37368,24.2428258,,
2025,NM04B,NAMATWI,Setako,Grazing Land,Sesheke,-17.3282948,24.2609246,,
2025,JK01A,NJOKOMALOMO,Njokomalomo Spray race,Spray Race,Sesheke,-17.064053,24.056404,,
2025,JK02A,NJOKOMALOMO,Mushitu,Grazing Land,Sesheke,-17.1014728,24.0628014,,
2025,JK03B,NJOKOMALOMO,Situnga,Grazing Land,Sesheke,-17.0566038,24.0686868,,
2025,JK04A,NJOKOMALOMO,Nalumbwe,Grazing Land,Sesheke,-17.041748,24.111532,,
2025,KU01A,NKUSU,Nkusu Spray race,Spray Race,Sesheke,-17.0671917,24.1581809,,
2025,KU02A,NKUSU,Nkusu forest ,Grazing Land,Sesheke,-17.060205,24.1311168,,
2025,KU03A,NKUSU,Nkusu Forest 2,Grazing Land,Sesheke,-17.07014,24.17786,,
2025,KU04A,NKUSU,Nkusu Mutemwa,Grazing Land,Sesheke,-17.04402,24.1797,,
2025,NG01A,NG'AMBWE,Ng'ambwe  Spray race,Spray Race,Sesheke,-17.2765,24.1767,,
2025,NG02C,NG'AMBWE,Ng'ambwe  Mutemwa,Grazing Land,Sesheke,-17.22381,24.13884,,
2025,NG03A,NG'AMBWE,Ng'ambwe  Libala,Grazing Land,Sesheke,-17.31438,24.20016,,
2025,NG04A,NG'AMBWE,Milu,Grazing Land,Sesheke,-17.3143977,24.2001341,,
